N,S_approx,RelError
72600,0.944128787879,0.000411213291271
73100,0.942407660739,0.00223344285551
73600,0.948012907609,0.00370106734046
74100,0.942914979757,0.00169632291111
74600,0.943850536193,0.000705810033302
75100,0.942260319574,0.00238943913277
75600,0.945238095238,0.000763256983985
76100,0.945827858081,0.00138766366729
76600,0.943962140992,0.000587649346759
77100,0.94619001297,0.00177109225293
77600,0.943282860825,0.0013068317794
78100,0.945502560819,0.00104325779849
78600,0.945896946565,0.00146081054535
79100,0.944469026549,5.09883266392e-05
79600,0.945775753769,0.00133249864393
80100,0.941526217228,0.00316666410696
80600,0.946262406948,0.00184773879658
81100,0.944882860666,0.00038715522792
81600,0.946124387255,0.0017016115529
82100,0.945843483557,0.00140420701388
82600,0.940102905569,0.00467358391817
83100,0.940809265945,0.00392573053214
83600,0.944736842105,0.000232559247284
84100,0.943341260404,0.00124500169265
84600,0.944932033097,0.000439216145197
85100,0.943830787309,0.000726719005924
85600,0.94722546729,0.0028673712143
86100,0.94606562137,0.00163939364381
86600,0.944731524249,0.000226929010037
87100,0.944704362801,0.000198172044626
87600,0.946432648402,0.00202798057141
88100,0.946722474461,0.00233483158835
88600,0.942127539503,0.00253001896816
89100,0.946899551066,0.00252231002497
89600,0.943568638393,0.00100426706974
90100,0.946157047725,0.00173619056357
90600,0.945584988962,0.00113052793422
91100,0.944978046103,0.000487932046764
91600,0.945496724891,0.00103707905583
92100,0.946416938111,0.00201134742665
92600,0.942683585313,0.00194130992391
93100,0.943796992481,0.00076249900903
93600,0.942534722222,0.00209891752827
94100,0.944062167906,0.000481746652971
94600,0.942098308668,0.00256096688075
95100,0.947358044164,0.00300773591734
95600,0.945802824268,0.0013611593177
96100,0.941883454735,0.00278844176065
96600,0.94623447205,0.00181816294702
97100,0.944503089598,1.49243458157e-05
97600,0.941764856557,0.00291400663024
98100,0.939704383282,0.00509551619489
98600,0.947667342799,0.00333520336819
99100,0.944740161453,0.000236073580177
99600,0.944590863454,7.80055201236e-05
