N,S_approx,RelError
61600,0.938582185188,0.00628363443304
62100,0.951092540841,0.00696160434055
62600,0.944666960669,0.000158572836814
63100,0.944981650202,0.000491747857857
63600,0.942656892176,0.00196957106929
64100,0.972552657412,0.0296823307518
64600,0.96389040849,0.0205112441355
65100,0.952465698764,0.00841542428602
65600,0.947440958734,0.00309552105325
66100,0.935679802575,0.00935650876034
66600,0.926925547368,0.018625006293
67100,0.944365047149,0.000161075682547
67600,0.947759286578,0.00343254810728
68100,0.960791563096,0.0172303664131
68600,0.968901558402,0.0258167589395
69100,0.957344179851,0.0135804770347
69600,0.952573171424,0.00852921010299
70100,0.914407192305,0.0318787143785
70600,0.937893989284,0.00701225632966
71100,0.934833289823,0.0102527473523
71600,0.946441225765,0.00203706178633
72100,0.939006365452,0.00583453697822
72600,0.952012359545,0.00793545502173
73100,0.954955653571,0.0110516439798
73600,0.946191631804,0.00177280617988
74100,0.938959126653,0.00588455067736
74600,0.924664336938,0.0210190447117
75100,0.939563942274,0.00524420698668
75600,0.955651666052,0.0117885416157
76100,0.94249223595,0.00214389952849
76600,0.9523354969,0.00827757410568
77100,0.936923395818,0.00803986438212
77600,0.951938750342,0.00785752186799
78100,0.925463282476,0.0201731675268
78600,0.933032672937,0.0121591360472
79100,0.941035933858,0.0036857476961
79600,0.938282332048,0.00660110154065
80100,0.951120962205,0.00699169523238
80600,0.950417797901,0.00624722566158
81100,0.95088543986,0.00674233783699
81600,0.929530401006,0.015867138383
82100,0.93101242796,0.0142980542236
82600,0.950352676982,0.00617827941007
83100,0.958244546352,0.01453373285
83600,0.935101613685,0.00996866161353
84100,0.94124703548,0.00346224554576
84600,0.923800834896,0.021933270578
85100,0.946799224886,0.00241609048541
85600,0.953135645157,0.00912472465908
86100,0.934708069851,0.0103853229935
86600,0.947571100963,0.0032333080953
87100,0.942852929496,0.00176201812762
87600,0.933167731332,0.0120161440537
88100,0.943324301236,0.00126295707632
88600,0.946156301578,0.00173540058621
89100,0.951307165205,0.00718883616615
89600,0.926246400038,0.0193440480857
90100,0.931566811091,0.0137111055273
90600,0.934747941149,0.0103431095765
91100,0.948009936563,0.00369792176955
91600,0.945579000915,0.00112418813681
92100,0.944993723366,0.000504530223032
