type,n,threshold,usec
random,59000,0,20620
random,59100,0,20628.2
random,59200,0,20667.6
random,59300,0,20682.6
random,59400,0,20703
random,59500,0,20759.6
random,59600,0,20807
random,59700,0,20874.4
random,59800,0,20930.4
random,59900,0,20922.4
random,60000,0,20958.4
random,60100,0,20988.8
random,60200,0,21061.4
random,60300,0,21059.8
random,60400,0,21078.2
random,60500,0,21120.8
random,60600,0,21164.8
random,60700,0,21181.2
random,60800,0,21241.2
random,60900,0,21272.2
random,61000,0,21315.2
random,61100,0,21367.8
random,61200,0,21385.2
random,61300,0,21387.8
random,61400,0,21438.8
random,61500,0,21536.8
random,61600,0,21517.6
random,61700,0,21715.6
random,61800,0,21686.8
random,61900,0,21672.8
random,62000,0,21707.4
random,62100,0,21688.2
random,62200,0,21942
random,62300,0,21752.2
random,62400,0,21950.4
random,62500,0,21806.2
random,62600,0,21547.6
random,62700,0,22054
random,62800,0,22017
random,62900,0,22486.6
random,63000,0,22074
random,63100,0,22132.8
random,63200,0,25232
random,63300,0,22534.4
random,63400,0,22249.4
random,63500,0,22163.2
random,63600,0,23316
random,63700,0,22236.4
random,63800,0,22000.4
random,63900,0,21901.4
random,64000,0,21873.2
random,64100,0,21926.4
random,64200,0,21919
random,64300,0,21957.4
random,64400,0,21970.6
random,64500,0,22016.8
random,64600,0,22027
random,64700,0,22051.4
random,64800,0,22082.8
random,64900,0,22155
random,65000,0,22636.6
random,65100,0,22844.2
random,65200,0,22349.4
random,65300,0,22317.6
random,65400,0,22336.2
random,65500,0,22317.8
random,65600,0,22484.4
random,65700,0,22456.6
random,65800,0,22544.8
random,65900,0,22505.4
random,66000,0,22553.6
random,66100,0,22603.2
random,66200,0,22651
random,66300,0,22700.6
random,66400,0,22730.2
random,66500,0,22782.8
random,66600,0,22816.4
random,66700,0,22865.4
random,66800,0,22919.4
random,66900,0,23015.4
random,67000,0,23022.8
random,67100,0,23064.4
random,67200,0,23076.4
random,67300,0,23190
random,67400,0,23175
random,67500,0,23216.2
random,67600,0,23294.6
random,67700,0,23411
random,67800,0,23380.8
random,67900,0,23376.6
random,68000,0,23401
random,68100,0,23422.2
random,68200,0,23453
random,68300,0,23517.8
random,68400,0,23587.6
random,68500,0,23593.2
random,68600,0,23619
random,68700,0,23664.2
random,68800,0,23713.4
random,68900,0,23718.2
random,69000,0,23733.6
random,69100,0,23830.8
random,69200,0,23859.2
random,69300,0,23950.4
random,69400,0,23935
random,69500,0,24001.2
random,69600,0,24014.6
random,69700,0,24572.8
random,69800,0,25958.8
random,69900,0,25720.6
random,70000,0,25166.2
random,70100,0,24439
random,70200,0,24676.8
random,70300,0,24596
random,70400,0,24649.2
random,70500,0,24721.8
random,70600,0,24746.2
random,70700,0,24681
random,70800,0,24745
random,70900,0,24884.2
random,71000,0,24900
random,71100,0,25038.6
random,71200,0,24955.8
random,71300,0,24986.2
random,71400,0,25038.6
random,71500,0,25043.4
random,71600,0,25086.8
random,71700,0,25165.4
random,71800,0,25192.2
random,71900,0,25254.4
random,72000,0,25563.6
random,72100,0,25633
random,72200,0,25290.6
random,72300,0,25323.8
random,72400,0,25364
random,72500,0,25373.2
random,72600,0,25474
random,72700,0,25529.4
random,72800,0,25535.4
random,72900,0,25592.2
random,73000,0,25604.6
random,73100,0,25650.2
random,73200,0,25687.4
random,73300,0,25748
random,73400,0,25776.6
random,73500,0,25824.8
random,73600,0,26231
random,73700,0,26517
random,73800,0,26321.4
random,73900,0,26292.2
random,74000,0,26425
random,74100,0,26458.8
random,74200,0,26481.6
random,74300,0,26608.8
random,74400,0,26703.4
random,74500,0,26636.8
random,74600,0,26572
random,74700,0,26548.6
random,74800,0,26568.8
random,74900,0,26648.8
random,75000,0,26792.6
random,75100,0,26905.4
random,75200,0,26939.6
random,75300,0,27268
random,75400,0,27085.6
random,75500,0,26870.4
random,75600,0,28995.8
random,75700,0,27615.8
random,75800,0,26870.6
random,75900,0,27878
random,76000,0,27135.6
random,76100,0,26955.8
random,76200,0,26875.6
random,76300,0,26876.6
random,76400,0,26936.2
random,76500,0,26887
random,76600,0,26925.8
random,76700,0,27007
random,76800,0,27041.2
random,76900,0,26985.8
random,77000,0,27041.2
random,77100,0,27113.2
random,77200,0,27376.2
random,77300,0,27449.6
random,77400,0,27394
random,77500,0,27393.8
random,77600,0,28181.4
random,77700,0,28238.6
random,77800,0,28323.2
random,77900,0,28126.6
random,78000,0,27939.8
random,78100,0,27710.6
random,78200,0,27686.2
random,78300,0,27624.2
random,78400,0,27683
random,78500,0,27671
random,78600,0,27790.4
random,78700,0,27801.2
random,78800,0,27776.2
random,78900,0,27984.2
random,79000,0,28075.2
random,79100,0,28057.6
random,79200,0,27984
random,79300,0,28464.2
random,79400,0,28498
random,79500,0,28479
random,79600,0,28434.8
random,79700,0,28491
random,79800,0,28601.4
random,79900,0,28581.8
random,80000,0,28735.8
random,80100,0,28730
random,80200,0,28912.4
random,80300,0,28859.6
random,80400,0,28817.4
random,80500,0,28906
random,80600,0,28836
random,80700,0,28866.4
random,80800,0,28901.6
random,80900,0,28853.6
random,81000,0,28967.4
random,81100,0,28987.2
random,81200,0,28977
random,81300,0,29013.2
random,81400,0,29063.8
random,81500,0,29170.2
random,81600,0,29250.4
random,81700,0,29113
random,81800,0,29145
random,81900,0,29185.4
random,82000,0,29216.6
random,82100,0,29278.8
random,82200,0,29325
random,82300,0,29406.8
random,82400,0,29543.2
random,82500,0,29512.2
random,82600,0,29565.2
random,82700,0,29595.6
random,82800,0,29735.4
random,82900,0,30122.8
random,83000,0,29855.8
random,83100,0,29886
random,83200,0,29834.2
random,83300,0,29823.6
random,83400,0,29842.2
random,83500,0,29910.8
random,83600,0,29892
random,83700,0,29936.4
random,83800,0,29978.2
random,83900,0,30007.8
random,84000,0,29567.4
random,84100,0,29559.6
random,84200,0,29661.6
random,84300,0,29674.4
random,84400,0,29698
random,84500,0,29860.4
random,84600,0,29842
random,84700,0,29911.2
random,84800,0,29925.6
random,84900,0,29933.2
random,85000,0,30060.6
random,85100,0,30064
random,85200,0,30075.4
random,85300,0,30103.8
random,85400,0,30085.4
random,85500,0,30142
random,85600,0,30864.8
random,85700,0,31943.6
random,85800,0,32416.6
random,85900,0,30961.6
random,86000,0,31341.6
random,86100,0,31479.6
random,86200,0,30872.6
random,86300,0,32932
random,86400,0,32267.8
random,86500,0,31124.4
random,86600,0,31212.4
random,86700,0,31059.2
random,86800,0,31026.4
random,86900,0,31035.2
random,87000,0,31055.8
random,87100,0,31102.4
random,87200,0,31146.6
random,87300,0,31354.4
random,87400,0,31063.2
random,87500,0,31191.8
random,87600,0,31652.8
random,87700,0,32024.6
random,87800,0,31623
random,87900,0,31660.8
random,88000,0,31630.4
random,88100,0,31669.8
random,88200,0,31698.2
random,88300,0,31719.8
random,88400,0,31742.6
random,88500,0,31793.6
random,88600,0,31823.4
random,88700,0,31835.8
random,88800,0,31949.8
random,88900,0,31947.4
random,89000,0,33539.6
random,89100,0,32011.2
random,89200,0,32202
random,89300,0,32059.6
random,89400,0,32125.8
random,89500,0,32153.8
random,89600,0,32199.4
random,89700,0,32241.6
random,89800,0,32280
random,89900,0,32305.4
random,90000,0,32329
random,90100,0,32442.6
random,90200,0,32434
random,90300,0,32449
random,90400,0,32496.2
random,90500,0,32559.2
random,90600,0,32547.2
random,90700,0,32636.6
random,90800,0,32644
random,90900,0,32668.6
random,91000,0,32766.2
random,91100,0,32792.4
random,91200,0,32848.8
