type,n,threshold,usec
random,70300,5,20377.8
random,70400,5,20426.6
random,70500,5,20405
random,70600,5,20472
random,70700,5,20476.2
random,70800,5,20494.2
random,70900,5,20556.4
random,71000,5,20560
random,71100,5,20582.6
random,71200,5,20588.4
random,71300,5,20622.4
random,71400,5,20728.4
random,71500,5,20727.4
random,71600,5,20729.6
random,71700,5,20737.4
random,71800,5,20764.2
random,71900,5,20801
random,72000,5,20837
random,72100,5,20867.2
random,72200,5,20886.6
random,72300,5,20935.6
random,72400,5,20911
random,72500,5,20966.6
random,72600,5,20998.6
random,72700,5,20996
random,72800,5,21050.8
random,72900,5,21083.2
random,73000,5,21069
random,73100,5,21134.6
random,73200,5,21134.8
random,73300,5,21171.8
random,73400,5,21248.8
random,73500,5,21282.2
random,73600,5,21362.6
random,73700,5,21266
random,73800,5,21273.2
random,73900,5,21331.6
random,74000,5,21326.4
random,74100,5,21448.6
random,74200,5,21438.8
random,74300,5,21499.8
random,74400,5,21586.2
random,74500,5,21600.4
random,74600,5,21653.4
random,74700,5,21570.8
random,74800,5,21577.4
random,74900,5,21611.4
random,75000,5,21708.6
random,75100,5,21738
random,75200,5,21714.2
random,75300,5,21860
random,75400,5,21796.2
random,75500,5,21816.8
random,75600,5,21962.8
random,75700,5,21896
random,75800,5,21902
random,75900,5,21928.6
random,76000,5,21959.4
random,76100,5,22054.8
random,76200,5,22056.4
random,76300,5,22099.4
random,76400,5,22152.4
random,76500,5,22179.8
random,76600,5,22180.6
random,76700,5,22228.8
random,76800,5,22211.6
random,76900,5,22187.4
random,77000,5,22200
random,77100,5,22272.8
random,77200,5,22276.8
random,77300,5,22314.8
random,77400,5,22340.8
random,77500,5,22378.6
random,77600,5,22378.2
random,77700,5,22409.8
random,77800,5,22440
random,77900,5,22471.8
random,78000,5,22512
random,78100,5,22533.8
random,78200,5,22765.2
random,78300,5,23137.8
random,78400,5,23197.8
random,78500,5,23307.4
random,78600,5,22850.2
random,78700,5,22674.6
random,78800,5,22684.6
random,78900,5,22706.8
random,79000,5,22747.4
random,79100,5,22769.4
random,79200,5,22776
random,79300,5,22852.8
random,79400,5,22899.2
random,79500,5,23884.4
random,79600,5,23466.6
random,79700,5,23006.4
random,79800,5,22995.4
random,79900,5,23050.6
random,80000,5,23155
random,80100,5,23475.4
random,80200,5,23686.6
random,80300,5,23272
random,80400,5,23200.2
random,80500,5,23288.2
random,80600,5,23449
random,80700,5,23517.6
random,80800,5,23703.6
random,80900,5,23861
random,81000,5,23452
random,81100,5,23386.4
random,81200,5,23416
random,81300,5,23365.6
random,81400,5,23407.2
random,81500,5,23526.8
random,81600,5,23557.4
random,81700,5,23529.6
random,81800,5,23596.6
random,81900,5,23621
random,82000,5,23658.6
random,82100,5,23626.6
random,82200,5,23750.4
random,82300,5,23685.6
random,82400,5,24227.6
random,82500,5,23925.2
random,82600,5,23859
random,82700,5,23888
random,82800,5,24031
random,82900,5,24013
random,83000,5,24043.6
random,83100,5,24074
