stream_id,step,processed,true_unique,estimate,algo,b_or_p,m,seed
5,4,20000,19342,19934.451419,hllpp,10,1024,547
6,0,1000,998,1020.495473,hll,10,1024,648
6,0,1000,998,998.014842,hllpp,10,1024,648
6,1,2000,1980,1946.658697,hll,10,1024,648
6,1,2000,1980,1980.058421,hllpp,10,1024,648
6,2,4000,3924,3824.364862,hll,10,1024,648
6,2,4000,3924,3924.229463,hllpp,10,1024,648
6,3,10000,9722,10069.235550,hll,10,1024,648
6,3,10000,9722,9682.523121,hllpp,10,1024,648
6,4,20000,19347,20420.788289,hll,10,1024,648
6,4,20000,19347,19223.874663,hllpp,10,1024,648
7,0,1000,992,975.448106,hll,10,1024,749
7,0,1000,992,992.014664,hllpp,10,1024,749
7,1,2000,1975,1966.936588,hll,10,1024,749
7,1,2000,1975,1975.058126,hllpp,10,1024,749
7,2,4000,3924,3871.492712,hll,10,1024,749
7,2,4000,3924,3924.229463,hllpp,10,1024,749
7,3,10000,9732,9211.633661,hll,10,1024,749
7,3,10000,9732,9578.457339,hllpp,10,1024,749
7,4,20000,19361,19040.713050,hll,10,1024,749
7,4,20000,19361,19401.893310,hllpp,10,1024,749
8,0,1000,989,1007.039300,hll,10,1024,850
8,0,1000,989,989.014575,hllpp,10,1024,850
8,1,2000,1964,2052.319355,hll,10,1024,850
8,1,2000,1964,1964.057480,hllpp,10,1024,850
8,2,4000,3907,4295.991349,hll,10,1024,850
8,2,4000,3907,3907.227479,hllpp,10,1024,850
8,3,10000,9680,9800.325445,hll,10,1024,850
8,3,10000,9680,9332.266931,hllpp,10,1024,850
8,4,20000,19343,20048.500014,hll,10,1024,850
8,4,20000,19343,18912.282847,hllpp,10,1024,850
9,0,1000,993,1004.369155,hll,10,1024,951
9,0,1000,993,993.014694,hllpp,10,1024,951
9,1,2000,1976,1953.373476,hll,10,1024,951
9,1,2000,1976,1976.058185,hllpp,10,1024,951
9,2,4000,3928,3815.344991,hll,10,1024,951
9,2,4000,3928,3928.229931,hllpp,10,1024,951
9,3,10000,9716,9095.380202,hll,10,1024,951
9,3,10000,9716,10297.205567,hllpp,10,1024,951
9,4,20000,19331,18749.098735,hll,10,1024,951
9,4,20000,19331,19448.035223,hllpp,10,1024,951
10,0,1000,995,1001.705955,hll,10,1024,1052
10,0,1000,995,995.014753,hllpp,10,1024,1052
10,1,2000,1975,1994.613948,hll,10,1024,1052
10,1,2000,1975,1975.058126,hllpp,10,1024,1052
10,2,4000,3929,3975.278929,hll,10,1024,1052
10,2,4000,3929,3929.230048,hllpp,10,1024,1052
10,3,10000,9725,9499.031564,hll,10,1024,1052
10,3,10000,9725,9777.215742,hllpp,10,1024,1052
10,4,20000,19341,19594.182067,hll,10,1024,1052
10,4,20000,19341,19073.109223,hllpp,10,1024,1052
11,0,1000,988,985.870588,hll,10,1024,1153
11,0,1000,988,988.014546,hllpp,10,1024,1153
11,1,2000,1972,2037.585288,hll,10,1024,1153
11,1,2000,1972,1972.057950,hllpp,10,1024,1153
11,2,4000,3911,3994.385365,hll,10,1024,1153
11,2,4000,3911,3911.227945,hllpp,10,1024,1153
11,3,10000,9690,10509.377407,hll,10,1024,1153
11,3,10000,9690,9581.726976,hllpp,10,1024,1153
11,4,20000,19356,19847.578808,hll,10,1024,1153
11,4,20000,19356,20199.412675,hllpp,10,1024,1153
12,0,1000,996,1004.369155,hll,10,1024,1254
12,0,1000,996,996.014782,hllpp,10,1024,1254
12,1,2000,1986,1980.681761,hll,10,1024,1254
12,1,2000,1986,1986.058775,hllpp,10,1024,1254
12,2,4000,3927,3886.643394,hll,10,1024,1254
12,2,4000,3927,3927.229814,hllpp,10,1024,1254
12,3,10000,9751,9348.851799,hll,10,1024,1254
12,3,10000,9751,9576.840954,hllpp,10,1024,1254
12,4,20000,19406,18076.248842,hll,10,1024,1254
12,4,20000,19406,19259.875051,hllpp,10,1024,1254
13,0,1000,997,975.448106,hll,10,1024,1355
13,0,1000,997,997.014812,hllpp,10,1024,1355
13,1,2000,1976,2037.585288,hll,10,1024,1355
13,1,2000,1976,1976.058185,hllpp,10,1024,1355
13,2,4000,3931,4140.674872,hll,10,1024,1355
13,2,4000,3931,3931.230282,hllpp,10,1024,1355
13,3,10000,9707,10083.983781,hll,10,1024,1355
13,3,10000,9707,9919.916506,hllpp,10,1024,1355
13,4,20000,19330,20994.244944,hll,10,1024,1355
13,4,20000,19330,19918.958272,hllpp,10,1024,1355
14,0,1000,990,983.255005,hll,10,1024,1456
14,0,1000,990,990.014605,hllpp,10,1024,1456
14,1,2000,1968,1900.849142,hll,10,1024,1456
14,1,2000,1968,1968.057715,hllpp,10,1024,1456
14,2,4000,3901,3743.623342,hll,10,1024,1456
14,2,4000,3901,3901.226780,hllpp,10,1024,1456
14,3,10000,9699,8918.575836,hll,10,1024,1456
14,3,10000,9699,9937.547892,hllpp,10,1024,1456
14,4,20000,19345,18630.083091,hll,10,1024,1456
14,4,20000,19345,19520.835109,hllpp,10,1024,1456
15,0,1000,990,967.700276,hll,10,1024,1557
15,0,1000,990,990.014605,hllpp,10,1024,1557
15,1,2000,1967,2044.925821,hll,10,1024,1557
15,1,2000,1967,1967.057656,hllpp,10,1024,1557
15,2,4000,3916,3957.972339,hll,10,1024,1557
15,2,4000,3916,3916.228528,hllpp,10,1024,1557
15,3,10000,9704,10051.681035,hll,10,1024,1557
15,3,10000,9704,9697.876264,hllpp,10,1024,1557
15,4,20000,19349,19584.564296,hll,10,1024,1557
15,4,20000,19349,19239.822488,hllpp,10,1024,1557
16,0,1000,993,970.276378,hll,10,1024,1658
16,0,1000,993,993.014694,hllpp,10,1024,1658
16,1,2000,1978,1960.132576,hll,10,1024,1658
16,1,2000,1978,1978.058303,hllpp,10,1024,1658
16,2,4000,3932,3991.810501,hll,10,1024,1658
16,2,4000,3932,3932.230399,hllpp,10,1024,1658
16,3,10000,9688,9676.490774,hll,10,1024,1658
16,3,10000,9688,9687.978903,hllpp,10,1024,1658
16,4,20000,19313,19340.690129,hll,10,1024,1658
16,4,20000,19313,19876.339393,hllpp,10,1024,1658
17,0,1000,994,929.816794,hll,10,1024,1759
17,0,1000,994,994.014723,hllpp,10,1024,1759
17,1,2000,1962,1913.729815,hll,10,1024,1759
17,1,2000,1962,1962.057363,hllpp,10,1024,1759
17,2,4000,3910,4010.485287,hll,10,1024,1759
17,2,4000,3910,3910.227828,hllpp,10,1024,1759
17,3,10000,9698,9453.510984,hll,10,1024,1759
17,3,10000,9698,9606.555420,hllpp,10,1024,1759
17,4,20000,19359,19670.738868,hll,10,1024,1759
17,4,20000,19359,19114.820476,hllpp,10,1024,1759
18,0,1000,991,978.043798,hll,10,1024,1860
18,0,1000,991,991.014634,hllpp,10,1024,1860
18,1,2000,1975,2030.297001,hll,10,1024,1860
18,1,2000,1975,1975.058126,hllpp,10,1024,1860
18,2,4000,3929,3911.779209,hll,10,1024,1860
18,2,4000,3929,3929.230048,hllpp,10,1024,1860
18,3,10000,9724,9708.673025,hll,10,1024,1860
18,3,10000,9724,9342.692006,hllpp,10,1024,1860
18,4,20000,19365,19537.811583,hll,10,1024,1860
18,4,20000,19365,18902.705686,hllpp,10,1024,1860
19,0,1000,997,1034.130827,hll,10,1024,1961
19,0,1000,997,997.014812,hllpp,10,1024,1961
19,1,2000,1983,2037.585288,hll,10,1024,1961
19,1,2000,1983,1983.058598,hllpp,10,1024,1961
19,2,4000,3915,4046.939244,hll,10,1024,1961
19,2,4000,3915,3914.228295,hllpp,10,1024,1961
19,3,10000,9720,10108.246306,hll,10,1024,1961
19,3,10000,9720,9885.779664,hllpp,10,1024,1961
19,4,20000,19341,18098.805947,hll,10,1024,1961
19,4,20000,19341,19539.243686,hllpp,10,1024,1961
